company_code,year,q1,q2,q3,q4,yearly_financial
MMM,2021,8851000000,8950000000.0,8942000000.0,8612000000.0,35355000000.0
MMM,2022,8829000000,8702000000.0,8619000000.0,8079000000.0,34229000000.0
MMM,2023,8031000000,8325000000.0,8312000000.0,8013000000.0,32681000000.0
MMM,2024,6016000000,6255000000.0,6294000000.0,6010000000.0,24575000000.0
MMM,2025,5954000000,6344000000.0,6517000000.0,,
AOS,2021,769000000,859800000.0,914600000.0,995500000.0,3538900000.0
AOS,2022,977700000,965900000.0,874200000.0,936100000.0,3753900000.0
AOS,2023,966400000,960800000.0,937500000.0,988100000.0,3852800000.0
AOS,2024,978800000,1024300000.0,902600000.0,912400000.0,3818100000.0
AOS,2025,963900000,1011300000.0,942500000.0,,
ABT,2021,10456000000,10223000000.0,10928000000.0,11468000000.0,43075000000.0
ABT,2022,11895000000,11257000000.0,10410000000.0,10091000000.0,43653000000.0
ABT,2023,9747000000,9978000000.0,10143000000.0,10241000000.0,40109000000.0
ABT,2024,9964000000,10377000000.0,10635000000.0,10974000000.0,41950000000.0
ABT,2025,10358000000,11142000000.0,11369000000.0,,
ABBV,2021,13010000000,13959000000.0,14342000000.0,14886000000.0,56197000000.0
ABBV,2022,13538000000,14583000000.0,14812000000.0,15121000000.0,58054000000.0
ABBV,2023,12225000000,13865000000.0,13927000000.0,14301000000.0,54318000000.0
ABBV,2024,12310000000,14462000000.0,14460000000.0,15102000000.0,56334000000.0
ABBV,2025,13343000000,15423000000.0,15776000000.0,,
ACN,2021,12088125000,13263795000.0,13419284000.0,14965153000.0,50533389000.0
ACN,2022,15046693000,16158803000.0,15423656000.0,15747802000.0,61594305000.0
ACN,2023,15814158000,16564585000.0,15985200000.0,16224303000.0,64111745000.0
ACN,2024,15799514000,16466828000.0,16405819000.0,17689545000.0,64896464000.0
ACN,2025,16659301000,17727871000.0,17596260000.0,,69672977000.0
ADBE,2021,3905000000,3835000000.0,3935000000.0,4110000000.0,15785000000.0
ADBE,2022,4262000000,4386000000.0,4433000000.0,4525000000.0,17606000000.0
ADBE,2023,4655000000,4816000000.0,4890000000.0,5048000000.0,19409000000.0
ADBE,2024,5182000000,5309000000.0,5408000000.0,5606000000.0,21505000000.0
ADBE,2025,5714000000,5873000000.0,5988000000.0,,
AMD,2021,3445000000,3850000000.0,4313000000.0,4826000000.0,16434000000.0
AMD,2022,5887000000,6550000000.0,5565000000.0,5599000000.0,23601000000.0
AMD,2023,5353000000,5359000000.0,5800000000.0,6168000000.0,22680000000.0
AMD,2024,5473000000,5835000000.0,6819000000.0,7658000000.0,25785000000.0
AMD,2025,7438000000,7685000000.0,9246000000.0,,
AES,2021,2635000000,2700000000.0,3037000000.0,2770000000.0,11142000000.0
AES,2022,2853000000,3078000000.0,3627000000.0,3060000000.0,12618000000.0
AES,2023,3239000000,3035000000.0,3434000000.0,2968000000.0,12676000000.0
AES,2024,3085000000,2942000000.0,3289000000.0,2962000000.0,12278000000.0
AES,2025,2926000000,2855000000.0,3351000000.0,,
AFL,2021,5795000000,5511000000.0,5237000000.0,5387000000.0,22106000000.0
AFL,2022,5272000000,5400000000.0,4824000000.0,4014000000.0,19151000000.0
AFL,2023,4831000000,5173000000.0,5032000000.0,3857000000.0,18841000000.0
AFL,2024,5437000000,5157000000.0,3035000000.0,5498000000.0,19128000000.0
AFL,2025,3453000000,4218000000.0,4793000000.0,,
A,2021,1548000000,1525000000.0,1586000000.0,1660000000.0,6319000000.0
A,2022,1674000000,1607000000.0,1718000000.0,1849000000.0,6848000000.0
A,2023,1756000000,1717000000.0,1672000000.0,1688000000.0,6833000000.0
A,2024,1658000000,1573000000.0,1578000000.0,1701000000.0,6510000000.0
A,2025,1681000000,1668000000.0,1738000000.0,1861000000.0,6948000000.0
APD,2021,2502000000,2604700000.0,2841100000.0,2994200000.0,10323000000.0
APD,2022,2945100000,3189300000.0,3570000000.0,3174700000.0,12698600000.0
APD,2023,3200100000,3033900000.0,3191300000.0,2997100000.0,12600000000.0
APD,2024,2930200000,2985300000.0,3187500000.0,2931500000.0,12100600000.0
APD,2025,2916200000,3022700000.0,3166900000.0,,12037300000.0
ABNB,2021,886936000,1335196000.0,2237432000.0,1532196000.0,5992000000.0
ABNB,2022,1509000000,2104000000.0,2884000000.0,1901546000.0,8399000000.0
ABNB,2023,1818000000,2484000000.0,3397000000.0,2218000000.0,9917000000.0
ABNB,2024,2142000000,2748000000.0,3732000000.0,2480000000.0,11102000000.0
ABNB,2025,2272000000,3096000000.0,4095000000.0,,
AKAM,2021,842708000,852824000.0,860333000.0,905358000.0,3461223000.0
AKAM,2022,903647000,903332000.0,881896000.0,927779000.0,3616654000.0
AKAM,2023,915698000,935721000.0,965484000.0,995017000.0,3811920000.0
AKAM,2024,986970000,979580000.0,1004679000.0,1019939000.0,3991168000.0
AKAM,2025,1015139000,1043494000.0,1054630000.0,,
ALB,2021,829291000,773896000.0,830566000.0,894204000.0,3327957000.0
ALB,2022,1127728000,1479593000.0,2091805000.0,2620978000.0,7320104000.0
ALB,2023,2580252000,2370190000.0,2310596000.0,2356165000.0,9617203000.0
ALB,2024,1360736000,1430385000.0,1354692000.0,1231713000.0,5377526000.0
ALB,2025,1076881000,1329992000.0,1307829000.0,,
