company_code,year,q1,q2,q3,q4,yearly_financial
A,2021,1578000000.0,1578000000.0,1578000000.0,1578000000.0,6319000000.0
A,2022,1701000000,1701000000,1701000000,1701000000,6848000000.0
A,2023,1668000000,1668000000,1668000000,1668000000,6833000000.0
A,2024,1578000000,1578000000,1578000000.0,1701000000.0,6510000000.0
A,2025,1681000000.0,1668000000.0,1738000000.0,,
AAPL,2021,94930000000,94930000000,94930000000,94930000000,394328000000
AAPL,2022,95359000000,95359000000,95359000000,95359000000,394328000000.0
AAPL,2023,94036000000,94036000000,94036000000,94036000000,383285000000.0
AAPL,2024,124300000000,124300000000,94930000000.0,124300000000.0,391035000000.0
AAPL,2025,95359000000.0,94036000000.0,102466000000.0,94036000000.0,416161000000.0
