company_code,news_id,sentiment_score,sentiment_level
KLAC,1,0.380564,Bullish
KLAC,2,0.178097,Somewhat-Bullish
C,2,0.015314,Neutral
KLAC,3,0.164904,Somewhat-Bullish
AMAT,3,0.072966,Neutral
KLAC,4,0.078689,Neutral
WFC,4,0.004098,Neutral
KLAC,5,0.099571,Neutral
AMAT,5,0.099571,Neutral
GOOG,5,0.087011,Neutral
KLAC,6,0.110411,Neutral
LRCX,6,0.205402,Somewhat-Bullish
AMAT,6,0.057249,Neutral
KLAC,7,0.154150,Somewhat-Bullish
GS,7,0.049824,Neutral
WFC,7,0.049824,Neutral
KLAC,8,0.153756,Somewhat-Bullish
AMAT,8,0.153756,Somewhat-Bullish
GOOG,8,0.062263,Neutral
NVDA,8,0.341713,Somewhat-Bullish
AVGO,8,0.153756,Somewhat-Bullish
BAC,8,0.153756,Somewhat-Bullish
ADI,8,0.143022,Neutral
NXPI,8,0.143022,Neutral
MSFT,8,0.062263,Neutral
AMD,8,0.254206,Somewhat-Bullish
LRCX,8,0.153756,Somewhat-Bullish
KLAC,9,0.103184,Neutral
LRCX,9,0.101996,Neutral
AMAT,9,0.425670,Bullish
KLAC,10,0.030050,Neutral
SLB,10,-0.054574,Neutral
TER,10,-0.090596,Neutral
ROK,10,0.103824,Neutral
KLAC,11,0.380564,Bullish
KLAC,12,0.474982,Bullish
KLAC,13,0.236589,Somewhat-Bullish
KLAC,14,0.138331,Neutral
KLAC,15,0.030363,Neutral
KLAC,16,0.030218,Neutral
KLAC,17,0.162143,Somewhat-Bullish
BAC,17,0.138671,Neutral
GS,17,0.138671,Neutral
WFC,17,0.150146,Somewhat-Bullish
MS,17,0.138671,Neutral
AKAM,18,0.112611,Neutral
KLAC,18,0.267029,Somewhat-Bullish
KLAC,19,0.249621,Somewhat-Bullish
TER,20,0.082121,Neutral
ETR,20,0.000000,Neutral
ADP,20,0.000000,Neutral
PRU,20,0.000000,Neutral
SBUX,20,0.000000,Neutral
STX,20,0.082121,Neutral
VLTO,20,0.000000,Neutral
CMG,20,0.000000,Neutral
EA,20,0.000000,Neutral
PSA,20,0.000000,Neutral
META,20,0.000000,Neutral
UDR,20,0.000000,Neutral
AEP,20,0.000000,Neutral
MAA,20,0.000000,Neutral
AVB,20,0.000000,Neutral
